,SummonerName,WinLoss,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken,BOTTOM,JUNGLE,MIDDLE,TOP,UTILITY
1066,Vickers,1,Warwick,92,11,33,10,16,40,16,8,11,14886,28066,0,22433,40796,4,4,30,0,1674,235,220,0.9310344827586207,0.2765640326746048,28,60,5,0,0,1,0,0,0
1067,Ausfreak,1,Ahri,75,74,40,32,15,141,12,5,14,13675,23295,0,5561,19076,7,5,9,0,1674,73,136,0.896551724137931,0.22955346070062033,12,33,2,4,0,0,1,0,0
1068,Kenny good kid,1,Jinx,74,51,6,6,15,156,4,4,7,14585,12004,0,2677,16514,9,0,19,0,1674,75,123,0.3793103448275862,0.11829188463569451,11,25,0,2,1,0,0,0,0
1069,Bucukaqi,1,Blitzcrank,41,37,27,15,14,36,4,6,20,11840,14255,0,1885,19060,23,3,37,0,1674,140,143,0.8275862068965517,0.1404747897693989,29,59,0,7,0,0,0,0,1
1070,Frommoh,0,Velkoz,64,39,20,3,9,20,4,1,6,5292,10792,0,497,6008,11,3,27,0,1078,132,30,0.5263157894736842,0.3546452109788051,18,16,0,1,0,0,0,0,1
1071,Vickers,0,Hecarim,99,21,20,4,9,14,2,8,6,5160,4936,0,5463,20272,6,1,9,0,1078,140,135,0.42105263157894735,0.16220933953067343,22,24,0,0,0,1,0,0,0
1072,Ausfreak,0,Zed,60,42,36,6,11,101,1,5,1,7811,5090,0,965,11635,6,1,10,0,1078,69,155,0.10526315789473684,0.16729230522120456,34,13,1,0,0,0,1,0,0
1073,Bucukaqi,0,Jinx,78,28,10,7,10,120,3,3,6,7002,8398,0,989,8965,7,1,11,0,1078,31,79,0.47368421052631576,0.2759769833536155,20,31,0,1,1,0,0,0,0
1074,KDF Ellim,0,Vayne,8,0,1,0,2,3,1,2,0,336,1213,0,102,1586,1,0,1,0,1078,3,14,0.05263157894736842,0.03987616091570143,1,2,0,0,0,1,0,0,0
1075,JuwonIsLove,1,Renekton,43,28,60,3,13,121,12,2,0,10151,12997,0,1782,12003,5,0,11,0,1078,72,65,1.0909090909090908,0.3632207628657919,26,25,7,7,0,0,0,1,0
