SaltyAFSpartan,False,UTILITY,Braum,11,1,5,2,6,13,1,3,1,2578,1937,218,56,4544,4,0,5,0,619,29,34,0,0,0,0,0,0
Illusive KZ,False,TOP,MonkeyKing,97,16,67,19,16,186,5,4,6,16106,17969,0,4975,26102,6,1,15,0,1785,75,165,0,0,0,0,0,0
NÅV,False,JUNGLE,Nocturne,86,31,29,15,13,41,2,7,8,11303,8027,0,11724,30057,6,5,27,0,1785,536,192,0,0,0,0,0,0
sad cos bad,False,MIDDLE,Annie,100,61,41,120,15,129,10,4,7,13250,22517,1731,647,15760,15,4,39,0,1785,158,159,0,0,0,0,0,0
cheeser,False,BOTTOM,Xayah,65,29,42,5,14,158,8,8,3,11506,16218,0,4808,21504,10,3,20,0,1785,18,197,0,0,0,0,0,0
Professor Jihad,False,UTILITY,Rakan,37,35,38,8,13,30,2,9,9,10503,6218,2988,2547,18270,19,8,42,0,1785,64,233,0,0,0,0,0,0
MVPete,True,TOP,Gnar,138,27,44,12,15,145,3,7,6,14189,13328,0,4928,25979,12,1,30,0,1785,578,252,0,0,0,0,0,0
Frommoh,True,JUNGLE,Diana,104,56,73,11,15,40,8,9,10,14602,17114,0,6364,26518,5,7,28,0,1785,198,264,0,0,0,0,0,0
OOOrange,True,MIDDLE,Orianna,101,89,46,8,15,124,0,4,17,13532,12765,1817,44,9955,9,1,30,0,1785,193,139,0,0,0,0,0,0
Kïmchï,True,BOTTOM,Kaisa,89,39,37,6,15,193,14,4,10,14591,20151,0,7379,17840,8,1,14,0,1785,22,129,0,0,0,0,0,0
Horoseki,True,UTILITY,Xerath,91,52,34,32,14,52,7,3,14,12987,24165,0,809,12247,27,5,54,0,1785,157,64,0,0,0,0,0,0
MVPete,True,TOP,Urgot,71,95,34,14,17,151,8,7,8,17342,14126,0,3851,27999,15,5,41,0,1882,507,215,0,0,0,0,0,0
Frommoh,True,JUNGLE,JarvanIV,74,57,62,16,16,27,4,7,21,15470,12957,0,7069,30168,4,5,27,0,1882,382,259,0,0,0,0,0,0
cted,True,MIDDLE,Tristana,47,49,50,8,18,191,17,4,8,18533,32892,0,8245,22450,9,2,25,0,1882,143,149,0,0,0,0,0,0
iPsykosis,True,BOTTOM,Samira,123,12,22,4,14,165,4,8,7,12752,9697,0,2464,17649,9,0,12,0,1882,10,223,0,0,0,0,0,0
